instance_id,resolved,patch_applied
astropy__astropy-12907,True,True
astropy__astropy-13033,False,True
astropy__astropy-13236,True,True
astropy__astropy-13398,False,True
astropy__astropy-13453,True,True
astropy__astropy-13579,True,True
astropy__astropy-13977,False,True
astropy__astropy-14096,True,True
astropy__astropy-14182,False,True
astropy__astropy-14309,True,True
astropy__astropy-14365,True,True
astropy__astropy-14369,False,True
astropy__astropy-14508,True,True
astropy__astropy-14539,True,True
astropy__astropy-14598,False,True
astropy__astropy-14995,True,True
astropy__astropy-7166,True,True
astropy__astropy-7336,True,True
astropy__astropy-7606,False,True
astropy__astropy-7671,True,True
astropy__astropy-8707,False,True
astropy__astropy-8872,False,True
django__django-10097,True,True
django__django-10554,False,True
django__django-10880,True,True
django__django-10914,True,True
django__django-10973,True,True
django__django-10999,False,True
django__django-11066,True,True
django__django-11087,False,True
django__django-11095,True,True
django__django-11099,True,True
django__django-11119,True,True
django__django-11133,True,True
django__django-11138,False,True
django__django-11141,False,True
django__django-11149,False,True
django__django-11163,True,True
django__django-11179,True,True
django__django-11206,True,True
django__django-11211,True,True
django__django-11239,True,True
django__django-11265,True,True
django__django-11276,False,True
django__django-11292,True,True
django__django-11299,True,True
django__django-11333,True,True
django__django-11400,False,True
django__django-11433,True,True
django__django-11451,True,True
django__django-11477,False,True
django__django-11490,True,True
django__django-11532,True,True
django__django-11551,True,True
django__django-11555,True,True
django__django-11603,True,True
django__django-11728,True,True
django__django-11734,True,True
django__django-11740,True,True
django__django-11749,True,True
django__django-11790,False,True
django__django-11815,True,True
django__django-11820,False,True
django__django-11848,False,True
django__django-11880,True,True
django__django-11885,False,True
django__django-11951,True,True
django__django-11964,True,True
django__django-11999,False,True
django__django-12039,True,True
django__django-12050,True,True
django__django-12125,False,True
django__django-12143,True,True
django__django-12155,True,True
django__django-12193,False,True
django__django-12209,True,True
django__django-12262,True,True
django__django-12273,False,True
django__django-12276,True,True
django__django-12304,True,True
django__django-12308,True,True
django__django-12325,False,True
django__django-12406,False,True
django__django-12419,True,True
django__django-12663,True,True
django__django-12708,True,True
django__django-12713,True,True
django__django-12741,True,True
django__django-12754,True,True
django__django-12774,True,True
django__django-12858,True,True
django__django-12965,True,True
django__django-13012,True,True
django__django-13023,True,True
django__django-13028,True,True
django__django-13033,True,True
django__django-13089,True,True
django__django-13109,True,True
django__django-13112,True,True
django__django-13121,True,True
django__django-13128,True,True
django__django-13158,True,True
django__django-13195,False,True
django__django-13212,False,True
django__django-13279,True,True
django__django-13297,True,True
django__django-13315,True,True
django__django-13343,True,True
django__django-13344,True,True
django__django-13346,True,True
django__django-13363,True,True
django__django-13401,True,True
django__django-13406,True,True
django__django-13410,True,True
django__django-13417,True,True
django__django-13449,True,True
django__django-13512,False,True
django__django-13513,False,True
django__django-13516,True,True
django__django-13551,True,True
django__django-13568,True,True
django__django-13569,True,True
django__django-13590,True,True
django__django-13658,True,True
django__django-13670,True,True
django__django-13741,True,True
django__django-13786,True,True
django__django-13794,False,True
django__django-13807,True,True
django__django-13809,True,True
django__django-13810,True,True
django__django-13820,True,True
django__django-13821,True,True
django__django-13837,True,True
django__django-13925,True,True
django__django-13933,True,True
django__django-13964,True,True
django__django-14007,True,True
django__django-14011,False,True
django__django-14017,True,True
django__django-14034,False,True
django__django-14053,True,True
django__django-14089,True,True
django__django-14122,True,True
django__django-14140,False,True
django__django-14155,False,True
django__django-14170,False,True
django__django-14238,True,True
django__django-14311,True,True
django__django-14315,False,True
django__django-14349,True,True
django__django-14351,True,True
django__django-14373,True,True
django__django-14376,True,True
django__django-14404,True,True
django__django-14434,True,True
django__django-14493,True,True
django__django-14500,True,True
django__django-14534,False,True
django__django-14539,True,True
django__django-14559,True,True
django__django-14580,True,True
django__django-14608,True,True
django__django-14631,True,True
django__django-14672,True,True
django__django-14725,True,True
django__django-14752,True,True
django__django-14765,True,True
django__django-14771,True,True
django__django-14787,True,True
django__django-14792,False,True
django__django-14855,True,True
django__django-14915,True,True
django__django-14999,False,True
django__django-15022,True,True
django__django-15037,True,True
django__django-15098,False,True
django__django-15103,True,True
django__django-15104,True,True
django__django-15127,False,True
django__django-15128,True,True
django__django-15161,True,True
django__django-15252,False,True
django__django-15268,True,True
django__django-15277,True,True
django__django-15278,True,True
django__django-15280,False,True
django__django-15315,True,True
django__django-15368,True,True
django__django-15375,True,True
django__django-15380,True,True
django__django-15382,True,True
django__django-15467,True,True
django__django-15499,True,True
django__django-15503,False,True
django__django-15525,True,True
django__django-15554,True,True
django__django-15561,True,True
django__django-15563,False,True
django__django-15569,True,True
django__django-15572,True,True
django__django-15629,False,True
django__django-15695,False,True
django__django-15731,True,True
django__django-15732,False,True
django__django-15741,True,True
django__django-15814,True,True
django__django-15851,True,True
django__django-15863,True,True
django__django-15916,False,True
django__django-15930,True,True
django__django-15957,False,True
django__django-15973,False,True
django__django-15987,True,True
django__django-16032,True,True
django__django-16082,True,True
django__django-16100,True,True
django__django-16116,True,True
django__django-16136,True,True
django__django-16139,True,True
django__django-16145,True,True
django__django-16255,True,True
django__django-16256,False,True
django__django-16263,False,True
django__django-16315,True,True
django__django-16333,True,True
django__django-16429,True,True
django__django-16454,True,True
django__django-16485,True,True
django__django-16493,True,True
django__django-16502,False,True
django__django-16527,True,True
django__django-16560,False,True
django__django-16569,True,True
django__django-16595,True,True
django__django-16612,True,True
django__django-16631,False,True
django__django-16642,True,True
django__django-16661,True,True
django__django-16662,True,True
django__django-16667,False,True
django__django-16801,True,True
django__django-16819,True,True
django__django-16877,True,True
